year,total_death,Jews_and_others_total_death,Arabs_total_death
2019,141,117,24
2019,132,115,17
2019,135,111,24
2019,158,138,20
2019,138,119,19
2019,133,120,13
2019,155,132,23
2019,148,129,19
2019,131,111,20
2019,162,144,18
2019,155,136,19
2019,176,153,23
2019,150,132,18
2019,146,126,20
2019,172,150,22
2019,161,148,13
2019,150,138,12
2019,180,163,17
2019,164,147,17
2019,153,142,11
2019,175,159,16
2019,153,144,9
2019,162,139,23
2019,186,165,21
2019,154,133,21
2019,143,123,20
2019,170,143,27
2019,155,136,19
2019,156,139,17
2019,160,137,23
2019,156,138,18
2019,131,116,15
2019,148,140,8
2019,161,151,10
2019,165,147,18
2019,153,132,21
2019,151,128,23
2019,149,134,15
2019,141,124,17
2019,151,138,13
2019,144,127,17
2019,137,118,19
2019,134,110,24
2019,147,121,26
2019,138,120,18
2019,142,123,19
2019,128,110,18
2019,147,128,19
2019,143,120,23
2019,148,127,21
2019,143,124,19
2019,160,146,14
2019,121,106,15
2019,157,138,19
2019,161,134,27
2019,154,130,24
2019,143,125,18
2019,137,122,15
2019,129,111,18
2019,152,130,22
2019,142,125,17
2019,154,144,10
2019,139,119,20
2019,152,132,20
2019,147,130,17
2019,138,121,17
2019,149,129,20
2019,132,117,15
2019,146,131,15
2019,138,116,22
2019,151,139,12
2019,154,123,31
2019,147,130,17
2019,142,127,15
2019,120,108,12
2019,144,132,12
2019,133,112,21
2019,120,111,9
2019,136,115,21
2019,142,123,19
2019,144,123,21
2019,133,120,13
2019,135,117,18
2019,137,127,10
2019,143,128,15
2019,124,109,15
2019,138,121,17
2019,126,108,18
2019,127,111,16
2019,131,121,10
2019,125,111,14
2019,116,107,9
2019,109,98,11
2019,119,105,14
2019,148,140,8
2019,103,93,10
2019,132,116,16
2019,134,122,12
2019,118,108,10
2019,121,110,11
2019,132,116,16
2019,128,112,16
2019,125,106,19
2019,134,114,20
2019,130,110,20
2019,111,102,9
2019,133,111,22
2019,122,106,16
2019,124,105,19
2019,120,106,14
2019,140,125,15
2019,142,130,12
2019,127,112,15
2019,117,103,14
2019,116,108,8
2019,121,106,15
2019,138,118,20
2019,133,119,14
2019,136,118,18
2019,158,139,19
2019,135,113,22
2019,124,103,21
2019,142,124,18
2019,143,126,17
2019,133,115,18
2019,131,108,23
2019,130,120,10
2019,117,101,16
2019,118,104,14
2019,118,100,18
2019,110,98,12
2019,123,106,17
2019,131,118,13
2019,108,94,14
2019,129,113,16
2019,105,93,12
2019,133,120,13
2019,104,93,11
2019,136,117,19
2019,114,93,21
2019,108,98,10
2019,118,109,9
2019,122,103,19
2019,133,114,19
2019,119,106,13
2019,124,104,20
2019,110,99,11
2019,110,96,14
2019,109,95,14
2019,123,112,11
2019,128,114,14
2019,131,111,20
2019,118,99,19
2019,100,83,17
2019,116,102,14
2019,102,86,16
2019,111,97,14
2019,114,100,14
2019,106,86,20
2019,109,91,18
2019,113,99,14
2019,127,107,20
2019,120,111,9
2019,128,110,18
2019,124,107,17
2019,97,86,11
2019,120,105,15
2019,118,104,14
2019,92,81,11
2019,108,96,12
2019,120,108,12
2019,114,102,12
