year,total_death,Jews_and_others_total_death,Arabs_total_death
2008,125,114,11
2008,113,102,11
2008,141,125,16
2008,120,110,10
2008,109,97,12
2008,91,80,11
2008,114,105,9
2008,127,115,12
2008,116,99,17
2008,140,124,16
2008,122,109,13
2008,134,119,15
2008,120,108,12
2008,118,103,15
2008,110,96,14
2008,134,118,16
2008,129,117,12
2008,155,141,14
2008,136,122,14
2008,134,124,10
2008,153,145,8
2008,131,116,15
2008,139,122,17
2008,141,121,20
2008,131,115,16
2008,115,98,17
2008,128,119,9
2008,133,124,9
2008,136,129,7
2008,121,111,10
2008,140,121,19
2008,146,134,12
2008,135,123,12
2008,125,111,14
2008,137,122,15
2008,98,85,13
2008,171,152,19
2008,136,122,14
2008,131,114,17
2008,136,119,17
2008,121,114,7
2008,134,118,16
2008,133,115,18
2008,134,119,15
2008,142,121,21
2008,144,134,10
2008,114,102,12
2008,145,133,12
2008,119,110,9
2008,140,124,16
2008,113,108,5
2008,114,104,10
2008,143,128,15
2008,128,116,12
2008,146,130,16
2008,145,126,19
2008,113,99,14
2008,116,107,9
2008,127,119,8
2008,148,130,18
2008,130,117,13
2008,117,108,9
2008,109,101,8
2008,116,110,6
2008,113,105,8
2008,132,115,17
2008,129,113,16
2008,127,111,16
2008,144,132,12
2008,131,112,19
2008,105,97,8
2008,114,101,13
2008,104,98,6
2008,110,102,8
2008,103,94,9
2008,114,105,9
2008,129,115,14
2008,109,97,12
2008,97,86,11
2008,111,94,17
2008,115,103,12
2008,120,109,11
2008,139,125,14
2008,129,119,10
2008,112,102,10
2008,122,107,15
2008,102,84,18
2008,89,81,8
2008,98,96,2
2008,93,83,10
2008,109,93,16
2008,115,101,14
2008,109,95,14
2008,107,99,8
2008,102,93,9
2008,104,90,14
2008,109,93,16
2008,105,97,8
2008,127,116,11
2008,108,99,9
2008,108,95,13
2008,97,86,11
2008,114,95,19
2008,122,107,15
2008,114,105,9
2008,94,84,10
2008,115,105,10
2008,109,99,10
2008,88,78,10
2008,87,78,9
2008,113,103,10
2008,108,98,10
2008,116,107,9
2008,93,87,6
2008,94,79,15
2008,106,98,8
2008,100,94,6
2008,83,79,4
2008,108,99,9
2008,103,91,12
2008,106,90,16
2008,102,89,13
2008,97,82,15
2008,93,79,14
2008,97,87,10
2008,93,81,12
2008,100,93,7
2008,102,91,11
2008,108,93,15
2008,95,88,7
2008,89,84,5
2008,100,90,10
2008,109,101,8
2008,101,86,15
2008,105,93,12
2008,95,80,15
2008,101,90,11
2008,101,90,11
2008,107,95,12
2008,89,77,12
2008,113,106,7
2008,98,90,8
2008,103,92,11
2008,90,79,11
2008,84,77,7
2008,105,93,12
2008,92,86,6
2008,98,92,6
2008,79,74,5
2008,96,81,15
2008,112,100,12
2008,89,76,13
2008,103,95,8
2008,99,93,6
2008,82,77,5
2008,111,97,14
2008,98,90,8
2008,87,83,4
2008,86,78,8
2008,90,79,11
2008,92,79,13
2008,92,81,11
2008,96,82,14
2008,83,79,4
2008,101,91,10
2008,88,76,12
2008,87,82,5
2008,88,78,10
2008,99,90,9
2008,115,107,8
2008,90,78,12
2008,80,73,7
2008,99,86,13
2008,69,61,8
2008,107,98,9
2008,106,98,8
2008,100,85,15
2008,93,85,8
2008,102,93,9
2008,91,79,12
2008,96,78,18
2008,102,85,17
2008,81,72,9
2008,90,76,14
2008,100,89,11
2008,88,82,6
2008,100,89,11
2008,87,80,7
2008,102,89,13
2008,103,85,18
2008,100,84,16
2008,111,94,17
2008,85,76,9
2008,93,78,15
2008,81,72,9
2008,103,99,4
2008,117,106,11
2008,92,84,8
2008,73,66,7
2008,94,85,9
2008,96,91,5
2008,88,82,6
2008,97,88,9
2008,98,87,11
2008,102,90,12
2008,102,91,11
2008,99,93,6
2008,78,76,2
2008,98,91,7
2008,96,89,7
2008,104,89,15
2008,110,99,11
2008,102,92,10
2008,89,80,9
2008,113,102,11
2008,94,84,10
2008,105,100,5
2008,98,94,4
2008,113,97,16
2008,110,102,8
2008,83,74,9
2008,93,78,15
2008,99,86,13
2008,110,101,9
2008,96,86,10
2008,96,84,12
2008,86,77,9
2008,91,80,11
2008,96,85,11
2008,90,85,5
2008,94,86,8
2008,103,94,9
2008,98,90,8
2008,99,82,17
2008,104,99,5
2008,96,87,9
2008,88,83,5
2008,97,89,8
2008,109,97,12
2008,93,86,7
2008,101,95,6
2008,98,88,10
2008,90,81,9
2008,90,83,7
2008,107,88,19
2008,93,77,16
2008,97,89,8
2008,107,100,7
2008,100,85,15
2008,98,87,11
2008,112,102,10
2008,102,94,8
2008,112,101,11
2008,107,97,10
2008,119,104,15
2008,103,97,6
2008,100,88,12
2008,104,92,12
2008,100,92,8
2008,111,100,11
2008,100,88,12
2008,102,93,9
2008,103,90,13
2008,105,93,12
2008,86,82,4
2008,88,83,5
2008,111,103,8
2008,115,100,15
2008,96,90,6
2008,107,97,10
2008,107,98,9
2008,106,95,11
2008,103,90,13
2008,82,77,5
2008,104,96,8
2008,95,83,12
2008,101,89,12
2008,107,97,10
2008,125,115,10
2008,91,83,8
2008,95,90,5
2008,103,95,8
2008,91,80,11
2008,104,89,15
2008,100,90,10
2008,100,90,10
2008,102,91,11
2008,100,89,11
2008,68,63,5
2008,108,96,12
2008,90,78,12
2008,92,81,11
2008,110,97,13
2008,100,92,8
2008,95,87,8
2008,110,97,13
2008,91,84,7
2008,115,106,9
2008,99,88,11
2008,106,99,7
2008,114,105,9
2008,94,82,12
2008,86,72,14
2008,88,78,10
2008,102,93,9
2008,111,103,8
2008,96,83,13
2008,102,91,11
2008,103,97,6
2008,99,92,7
2008,100,92,8
2008,111,100,11
2008,114,100,14
2008,100,92,8
2008,89,77,12
2008,131,119,12
2008,114,106,8
2008,97,85,12
2008,101,95,6
2008,87,73,14
2008,91,85,6
2008,97,87,10
2008,93,87,6
2008,105,91,14
2008,123,113,10
2008,105,94,11
2008,107,95,12
2008,92,81,11
2008,97,88,9
2008,96,82,14
2008,116,110,6
2008,117,110,7
2008,119,105,14
2008,108,99,9
2008,102,83,19
2008,115,100,15
2008,113,97,16
2008,112,97,15
2008,128,117,11
2008,117,105,12
2008,101,88,13
2008,112,97,15
2008,103,94,9
2008,117,109,8
2008,120,108,12
2008,105,90,15
2008,119,109,10
2008,101,90,11
2008,136,123,13
2008,105,95,10
2008,128,113,15
2008,114,98,16
2008,111,95,16
2008,112,107,5
2008,112,102,10
2008,117,96,21
2008,137,122,15
2008,127,117,10
2008,103,92,11
2008,134,122,12
2008,97,89,8
2008,96,89,7
2008,128,115,13
2008,111,103,8
2008,131,116,15
2008,117,112,5
