year,total_death,Jews_and_others_total_death,Arabs_total_death
2017,171,150,21
2017,158,139,19
2017,154,131,23
2017,155,139,16
2017,160,145,15
2017,173,152,21
2017,150,135,15
2017,178,162,16
2017,159,145,14
2017,169,150,19
2017,158,141,17
2017,164,133,31
2017,161,140,21
2017,176,160,16
2017,169,147,22
2017,146,130,16
2017,152,130,22
2017,171,153,18
2017,166,152,14
2017,145,124,21
2017,147,128,19
2017,165,142,23
2017,143,124,19
2017,147,129,18
2017,163,144,19
2017,184,164,20
2017,136,123,13
2017,146,128,18
2017,154,136,18
2017,142,121,21
2017,135,125,10
2017,145,137,8
2017,152,138,14
2017,148,133,15
2017,165,143,22
2017,143,125,18
2017,173,148,25
2017,176,154,22
2017,154,131,23
2017,158,144,14
2017,153,135,18
2017,140,122,18
2017,137,114,23
2017,149,133,16
2017,131,115,16
2017,116,100,16
2017,150,130,20
2017,112,95,17
2017,110,94,16
2017,140,125,15
2017,132,119,13
2017,136,117,19
2017,146,125,21
2017,138,124,14
2017,151,132,19
2017,150,137,13
2017,138,126,12
2017,149,128,21
2017,138,126,12
2017,152,144,8
2017,152,134,18
2017,134,116,18
2017,113,101,12
2017,142,126,16
2017,147,131,16
2017,143,122,21
2017,105,92,13
2017,135,121,14
2017,144,124,20
2017,130,111,19
2017,123,114,9
2017,139,117,22
2017,119,105,14
2017,139,119,20
2017,144,129,15
2017,127,115,12
2017,113,102,11
2017,138,128,10
2017,127,115,12
2017,129,111,18
2017,130,115,15
2017,141,121,20
2017,120,111,9
2017,132,106,26
2017,106,94,12
2017,112,98,14
2017,120,105,15
2017,133,120,13
2017,135,114,21
2017,143,121,22
2017,136,119,17
2017,124,110,14
2017,113,97,16
2017,121,103,18
2017,103,91,12
2017,151,127,24
2017,123,110,13
2017,107,95,12
2017,115,103,12
2017,120,106,14
2017,118,107,11
2017,131,119,12
2017,142,118,24
2017,114,100,14
2017,117,104,13
2017,114,99,15
2017,126,111,15
2017,117,105,12
2017,129,113,16
2017,103,90,13
2017,110,99,11
2017,145,125,20
2017,124,106,18
2017,124,110,14
2017,135,117,18
2017,138,125,13
2017,135,123,12
2017,127,116,11
2017,122,115,7
2017,131,115,16
2017,112,101,11
2017,112,101,11
2017,99,84,15
2017,102,94,8
2017,115,105,10
2017,97,84,13
2017,121,109,12
2017,118,106,12
2017,124,114,10
2017,128,114,14
2017,140,124,16
2017,120,104,16
2017,109,95,14
2017,109,97,12
2017,123,112,11
2017,99,84,15
2017,130,110,20
2017,126,113,13
2017,104,100,4
2017,102,91,11
2017,110,96,14
2017,102,88,14
2017,105,91,14
2017,109,101,8
2017,111,102,9
2017,104,88,16
2017,90,79,11
2017,115,100,15
2017,120,104,16
2017,125,108,17
2017,114,104,10
2017,123,113,10
2017,111,95,16
2017,101,93,8
2017,98,85,13
2017,107,94,13
2017,139,111,28
2017,98,91,7
2017,127,112,15
2017,120,105,15
2017,121,105,16
2017,108,98,10
