year,total_death,Jews_and_others_total_death,Arabs_total_death
2000,102,94,8
2000,125,113,12
2000,127,113,14
2000,102,91,11
2000,96,85,11
2000,97,85,12
2000,110,103,7
2000,115,105,10
2000,107,98,9
2000,108,91,17
2000,136,125,11
2000,121,107,14
2000,105,94,11
2000,118,108,10
2001,118,109,9
2001,107,97,10
2001,118,106,12
2001,126,110,16
2001,119,110,9
2001,119,103,16
2001,98,90,8
2001,110,99,11
2001,115,109,6
2001,113,103,10
2001,120,109,11
2001,120,110,10
2001,111,99,12
2001,95,91,4
2001,110,95,15
2001,97,89,8
2001,107,96,11
2001,108,95,13
2001,101,91,10
2001,99,88,11
2001,97,84,13
2001,108,95,13
2001,108,96,12
2001,121,112,9
2001,98,88,10
2001,130,120,10
2001,82,78,4
2001,122,113,9
2001,112,103,9
2001,132,116,16
2001,121,115,6
2001,123,109,14
2001,115,105,10
2001,121,115,6
2001,111,103,8
2001,130,121,9
2001,124,112,12
2001,104,88,16
2001,120,112,8
2001,103,91,12
2001,118,109,9
2001,126,113,13
2001,120,106,14
2001,135,116,19
2001,126,112,14
2001,121,105,16
2001,115,105,10
2001,110,106,4
2001,105,95,10
2001,99,86,13
2001,104,96,8
2001,98,93,5
2001,135,124,11
2001,126,113,13
2001,123,109,14
2001,115,106,9
2001,115,102,13
2001,111,102,9
2001,130,113,17
2001,134,128,6
2001,103,90,13
2001,130,119,11
2001,107,98,9
2001,127,112,15
2001,105,94,11
2001,137,123,14
2001,107,98,9
2001,111,103,8
2001,105,101,4
2001,115,101,14
2001,133,120,13
2001,112,105,7
2001,104,98,6
2001,103,92,11
2001,96,88,8
2001,103,93,10
2001,115,100,15
2001,118,96,22
2001,95,80,15
2001,116,103,13
2001,84,82,2
2001,119,103,16
2001,94,90,4
2001,101,88,13
2001,99,93,6
2001,102,96,6
2001,112,105,7
2001,107,95,12
2001,98,88,10
2001,104,91,13
2001,122,115,7
2001,114,101,13
2001,93,85,8
2001,106,93,13
2001,104,93,11
2001,87,82,5
2001,94,89,5
2001,86,75,11
2001,105,96,9
2001,95,87,8
2001,114,102,12
2001,108,97,11
2001,83,76,7
2001,88,82,6
2001,88,79,9
2001,105,99,6
2001,120,106,14
2001,135,125,10
2001,97,89,8
2001,101,89,12
2001,112,102,10
2001,115,104,11
2001,91,86,5
2001,90,82,8
2001,103,95,8
2001,110,98,12
2001,98,88,10
2001,88,78,10
2001,100,90,10
2001,103,93,10
2001,112,101,11
2001,109,100,9
2001,109,104,5
2001,93,83,10
2001,86,77,9
2001,116,103,13
2001,99,95,4
2001,100,90,10
2001,102,90,12
2001,95,86,9
2001,92,84,8
2001,71,60,11
2001,113,100,13
2001,111,100,11
2001,84,74,10
2001,85,75,10
2001,74,67,7
2001,94,85,9
2001,81,72,9
2001,96,87,9
2001,76,71,5
2001,98,93,5
2001,106,97,9
2001,130,117,13
2001,84,76,8
2001,96,85,11
2001,92,86,6
2001,94,86,8
2001,101,93,8
2001,95,87,8
2001,88,79,9
2001,97,88,9
2001,96,87,9
2001,89,79,10
2001,84,75,9
2001,91,77,14
2001,87,80,7
2001,77,67,10
2001,80,69,11
2001,78,72,6
2001,81,76,5
2001,100,88,12
2001,95,80,15
2001,87,79,8
2001,79,73,6
2001,85,79,6
2001,85,75,10
2001,99,96,3
2001,81,69,12
2001,84,77,7
2001,110,97,13
2001,86,77,9
2001,105,94,11
2001,83,73,10
2001,108,97,11
2001,92,86,6
2001,89,76,13
2001,92,88,4
2001,95,85,10
2001,72,66,6
2001,101,89,12
2001,91,72,19
2001,107,97,10
2001,74,63,11
2001,77,66,11
2001,96,81,15
2001,109,100,9
2001,92,82,10
2001,101,91,10
2001,100,83,17
2001,96,90,6
2001,79,68,11
2001,118,107,11
2001,97,86,11
2001,94,83,11
2001,72,66,6
2001,82,76,6
2001,96,89,7
2001,89,81,8
2001,86,79,7
2001,93,85,8
2001,113,106,7
2001,84,73,11
2001,74,65,9
2001,112,101,11
2001,90,81,9
2001,74,71,3
2001,93,86,7
2001,75,67,8
2001,102,96,6
2001,95,80,15
2001,85,77,8
2001,93,83,10
2001,100,96,4
2001,95,89,6
