year,total_death,Jews_and_others_total_death,Arabs_total_death
2013,142,120,22
2013,147,131,16
2013,140,124,16
2013,121,99,22
2013,128,117,11
2013,113,102,11
2013,126,116,10
2013,120,107,13
2013,118,104,14
2013,115,105,10
2013,130,115,15
2013,142,127,15
2013,141,126,15
2013,123,107,16
2013,149,134,15
2013,149,136,13
2013,153,137,16
2013,157,145,12
2013,145,126,19
2013,147,132,15
2013,150,141,9
2013,145,134,11
2013,158,139,19
2013,143,123,20
2013,109,102,7
2013,136,128,8
2013,137,124,13
2013,149,137,12
2013,127,118,9
2013,139,125,14
2013,138,127,11
2013,129,122,7
2013,145,131,14
2013,136,116,20
2013,148,128,20
2013,135,127,8
2013,133,116,17
2013,143,123,20
2013,128,118,10
2013,147,128,19
2013,136,121,15
2013,112,98,14
2013,114,104,10
2013,153,134,19
2013,153,141,12
2013,146,132,14
2013,141,130,11
2013,141,127,14
2013,149,136,13
2013,130,116,14
2013,153,138,15
2013,113,105,8
2013,119,107,12
2013,126,114,12
2013,140,124,16
2013,125,112,13
2013,132,122,10
2013,133,114,19
2013,125,114,11
2013,122,109,13
2013,132,120,12
2013,118,106,12
2013,142,129,13
2013,138,119,19
2013,127,113,14
2013,130,115,15
2013,132,122,10
2013,136,123,13
2013,116,105,11
2013,140,126,14
2013,151,139,12
2013,144,131,13
2013,143,129,14
2013,121,110,11
2013,146,129,17
2013,126,114,12
2013,124,113,11
2013,116,104,12
2013,115,105,10
2013,118,105,13
2013,119,104,15
2013,120,101,19
2013,122,108,14
2013,117,103,14
2013,127,114,13
2013,127,120,7
2013,113,104,9
2013,105,93,12
2013,98,87,11
2013,121,111,10
2013,122,104,18
2013,113,101,12
2013,107,98,9
2013,110,98,12
2013,101,91,10
2013,98,87,11
2013,105,93,12
2013,107,93,14
2013,102,89,13
2013,117,100,17
2013,110,99,11
2013,116,106,10
2013,109,95,14
2013,99,90,9
2013,95,89,6
2013,114,109,5
2013,99,91,8
2013,110,99,11
2013,92,83,9
2013,95,85,10
2013,99,89,10
2013,102,90,12
2013,114,95,19
2013,119,108,11
2013,110,103,7
2013,111,99,12
2013,117,106,11
2013,117,104,13
2013,137,120,17
2013,138,125,13
2013,120,111,9
2013,106,93,13
2013,118,108,10
2013,125,114,11
2013,127,110,17
2013,120,105,15
2013,93,73,20
2013,123,109,14
2013,115,97,18
2013,113,103,10
2013,100,90,10
2013,105,102,3
2013,98,87,11
2013,116,99,17
2013,124,109,15
2013,110,96,14
2013,79,71,8
2013,89,82,7
2013,98,90,8
2013,118,101,17
2013,97,90,7
2013,91,82,9
2013,126,113,13
2013,107,96,11
2013,112,98,14
2013,101,87,14
2013,97,86,11
2013,114,98,16
2013,101,93,8
2013,108,94,14
2013,101,87,14
2013,100,90,10
2013,116,101,15
2013,100,90,10
2013,97,90,7
2013,93,85,8
2013,126,103,23
2013,98,79,19
2013,89,82,7
2013,107,90,17
2013,105,95,10
2013,110,98,12
2013,92,84,8
2013,80,72,8
2013,81,67,14
2013,106,95,11
2013,101,90,11
2013,99,91,8
2013,105,93,12
2013,108,96,12
2013,105,94,11
2013,119,104,15
2013,93,88,5
2013,115,97,18
2013,95,83,12
2013,99,87,12
2013,83,77,6
2013,117,104,13
2013,112,104,8
2013,96,92,4
2013,95,82,13
2013,97,86,11
2013,102,92,10
2013,115,102,13
2013,106,91,15
2013,88,76,12
2013,107,97,10
2013,86,79,7
2013,91,77,14
2013,95,88,7
2013,118,101,17
2013,108,93,15
2013,97,88,9
2013,98,88,10
2013,103,89,14
2013,103,94,9
2013,81,71,10
2013,104,92,12
2013,111,97,14
2013,104,93,11
2013,103,94,9
2013,95,82,13
2013,90,83,7
2013,85,78,7
2013,105,94,11
2013,118,103,15
2013,92,81,11
2013,101,91,10
2013,104,88,16
2013,90,84,6
2013,108,95,13
2013,109,98,11
2013,73,65,8
2013,102,92,10
2013,89,80,9
2013,114,106,8
2013,113,99,14
2013,114,100,14
2013,109,97,12
2013,103,92,11
2013,101,89,12
2013,105,92,13
2013,111,104,7
2013,92,86,6
2013,122,105,17
2013,120,106,14
2013,109,92,17
2013,101,87,14
2013,118,102,16
2013,112,98,14
2013,125,108,17
2013,107,103,4
2013,126,111,15
2013,100,85,15
2013,83,71,12
2013,108,102,6
2013,102,89,13
2013,96,84,12
2013,104,91,13
2013,126,105,21
2013,71,63,8
2013,116,106,10
2013,101,87,14
2013,121,99,22
2013,97,90,7
2013,101,92,9
2013,116,100,16
2013,102,96,6
2013,109,98,11
2013,84,77,7
2013,87,79,8
2013,106,97,9
2013,125,110,15
2013,110,99,11
2013,107,89,18
2013,100,89,11
2013,100,93,7
2013,97,86,11
2013,109,99,10
2013,98,89,9
2013,108,91,17
2013,103,92,11
2013,101,92,9
2013,98,86,12
2013,120,107,13
2013,95,79,16
2013,96,80,16
2013,102,87,15
2013,96,85,11
2013,103,91,12
2013,92,80,12
2013,105,97,8
2013,124,111,13
2013,116,101,15
2013,91,82,9
2013,115,101,14
2013,97,88,9
2013,107,96,11
2013,89,81,8
2013,111,99,12
2013,106,92,14
2013,113,101,12
2013,114,101,13
2013,91,80,11
2013,98,86,12
2013,108,97,11
2013,115,103,12
2013,94,82,12
2013,115,105,10
2013,104,90,14
2013,129,111,18
2013,90,85,5
2013,125,113,12
2013,115,98,17
2013,110,95,15
2013,99,90,9
2013,94,83,11
2013,136,120,16
2013,121,109,12
2013,112,101,11
2013,126,118,8
2013,91,86,5
2013,140,129,11
2013,99,93,6
2013,98,88,10
2013,106,97,9
2013,118,101,17
2013,112,96,16
2013,119,102,17
2013,107,97,10
2013,112,101,11
2013,114,103,11
2013,110,91,19
2013,110,91,19
2013,96,88,8
2013,115,103,12
2013,105,97,8
2013,108,97,11
2013,96,89,7
2013,105,88,17
2013,109,94,15
2013,86,74,12
2013,119,102,17
2013,102,90,12
2013,99,86,13
2013,102,88,14
2013,116,103,13
2013,117,101,16
2013,105,98,7
2013,109,97,12
2013,121,110,11
2013,88,76,12
2013,122,109,13
2013,109,97,12
2013,97,88,9
2013,100,92,8
2013,114,104,10
2013,105,95,10
2013,108,101,7
2013,130,120,10
2013,109,97,12
2013,117,108,9
2013,123,110,13
2013,115,101,14
2013,100,93,7
2013,117,102,15
2013,122,108,14
2013,121,108,13
2013,108,93,15
2013,117,102,15
2013,133,119,14
2013,112,97,15
2013,124,114,10
2013,122,104,18
2013,161,140,21
2013,149,131,18
2013,128,115,13
2013,133,119,14
2013,114,103,11
2013,142,130,12
2013,115,104,11
2013,149,134,15
2013,125,110,15
2013,131,117,14
2013,136,122,14
