year,total_death,Jews_and_others_total_death,Arabs_total_death
2009,134,122,12
2009,112,102,10
2009,96,89,7
2009,122,112,10
2009,138,116,22
2009,124,110,14
2009,109,92,17
2009,117,110,7
2009,137,119,18
2009,110,97,13
2009,126,114,12
2009,121,111,10
2009,105,98,7
2009,111,101,10
2009,130,114,16
2009,102,95,7
2009,140,123,17
2009,107,94,13
2009,128,116,12
2009,114,104,10
2009,122,110,12
2009,114,105,9
2009,133,120,13
2009,123,110,13
2009,111,98,13
2009,137,127,10
2009,128,114,14
2009,141,125,16
2009,122,113,9
2009,127,117,10
2009,108,93,15
2009,121,113,8
2009,106,96,10
2009,124,108,16
2009,99,90,9
2009,131,115,16
2009,108,101,7
2009,132,119,13
2009,120,107,13
2009,116,101,15
2009,113,99,14
2009,97,90,7
2009,112,98,14
2009,111,96,15
2009,121,109,12
2009,115,104,11
2009,121,108,13
2009,115,101,14
2009,114,106,8
2009,102,92,10
2009,132,121,11
2009,117,108,9
2009,123,110,13
2009,132,116,16
2009,119,111,8
2009,101,89,12
2009,109,99,10
2009,119,110,9
2009,119,109,10
2009,112,97,15
2009,120,111,9
2009,125,113,12
2009,118,104,14
2009,135,119,16
2009,117,111,6
2009,141,127,14
2009,151,125,26
2009,137,116,21
2009,118,103,15
2009,102,93,9
2009,111,103,8
2009,109,96,13
2009,122,110,12
2009,103,95,8
2009,114,99,15
2009,112,97,15
2009,111,100,11
2009,93,87,6
2009,101,91,10
2009,97,85,12
2009,105,95,10
2009,110,94,16
2009,101,84,17
2009,119,112,7
2009,126,111,15
2009,99,87,12
2009,90,82,8
2009,118,106,12
2009,102,85,17
2009,120,111,9
2009,109,93,16
2009,114,100,14
2009,88,73,15
2009,101,91,10
2009,134,119,15
2009,116,107,9
2009,114,98,16
2009,102,95,7
2009,92,84,8
2009,92,83,9
2009,100,95,5
2009,131,121,10
2009,113,99,14
2009,131,123,8
2009,104,98,6
2009,124,111,13
2009,102,89,13
2009,95,82,13
2009,99,88,11
2009,106,95,11
2009,104,96,8
2009,112,104,8
2009,100,93,7
2009,120,104,16
2009,123,111,12
2009,112,97,15
2009,82,80,2
2009,90,79,11
2009,129,115,14
2009,107,91,16
2009,91,81,10
2009,105,93,12
2009,120,111,9
2009,111,96,15
2009,107,99,8
2009,103,94,9
2009,93,82,11
2009,102,91,11
2009,108,96,12
2009,113,101,12
2009,99,91,8
2009,97,88,9
2009,84,73,11
2009,115,99,16
2009,108,97,11
2009,98,89,9
2009,116,103,13
2009,93,83,10
2009,126,115,11
2009,84,77,7
2009,109,101,8
2009,98,88,10
2009,89,84,5
2009,88,75,13
2009,100,86,14
2009,86,74,12
2009,115,100,15
2009,93,86,7
2009,100,92,8
2009,85,73,12
2009,107,96,11
2009,101,85,16
2009,121,104,17
2009,108,94,14
2009,94,88,6
2009,90,83,7
2009,105,96,9
2009,98,85,13
2009,98,85,13
2009,102,91,11
2009,101,91,10
2009,95,85,10
2009,98,91,7
2009,82,72,10
2009,113,102,11
2009,96,85,11
2009,95,87,8
2009,101,89,12
2009,95,85,10
2009,98,86,12
2009,88,81,7
2009,91,81,10
2009,83,75,8
2009,88,80,8
2009,96,82,14
2009,82,75,7
2009,95,87,8
2009,89,81,8
2009,98,91,7
2009,98,81,17
2009,108,93,15
2009,97,89,8
2009,83,78,5
2009,100,90,10
2009,95,87,8
2009,113,89,24
2009,99,86,13
2009,91,81,10
2009,85,76,9
2009,97,85,12
2009,96,88,8
2009,90,82,8
2009,99,92,7
2009,95,85,10
2009,83,79,4
2009,111,99,12
2009,118,100,18
2009,99,90,9
2009,103,92,11
2009,93,79,14
2009,105,92,13
2009,102,89,13
2009,93,90,3
2009,100,92,8
2009,90,76,14
2009,91,81,10
2009,92,77,15
2009,89,80,9
2009,95,83,12
2009,109,92,17
2009,68,62,6
2009,101,89,12
2009,105,93,12
2009,115,105,10
2009,115,101,14
2009,94,87,7
2009,99,85,14
2009,96,85,11
2009,90,78,12
2009,88,80,8
2009,105,94,11
2009,105,92,13
2009,77,74,3
2009,106,93,13
2009,102,87,15
2009,106,90,16
2009,94,76,18
2009,84,72,12
2009,93,84,9
2009,99,89,10
2009,107,98,9
2009,102,92,10
2009,88,81,7
2009,103,88,15
2009,115,105,10
2009,97,85,12
2009,89,79,10
2009,80,72,8
2009,99,89,10
2009,101,94,7
2009,94,89,5
2009,113,101,12
2009,79,72,7
2009,107,92,15
2009,77,70,7
2009,95,82,13
2009,125,112,13
2009,89,83,6
2009,90,83,7
2009,100,92,8
2009,92,79,13
2009,83,70,13
2009,113,98,15
2009,107,92,15
2009,82,73,9
2009,92,84,8
2009,86,72,14
2009,92,81,11
2009,81,72,9
2009,96,84,12
2009,104,94,10
2009,106,99,7
2009,105,92,13
2009,107,99,8
2009,96,80,16
2009,101,93,8
2009,94,83,11
2009,75,68,7
2009,102,92,10
2009,108,94,14
2009,87,79,8
2009,82,77,5
2009,86,76,10
2009,106,96,10
2009,112,101,11
2009,93,87,6
2009,99,88,11
2009,116,104,12
2009,96,83,13
2009,116,111,5
2009,125,112,13
2009,99,85,14
2009,95,87,8
2009,94,84,10
2009,109,89,20
2009,105,89,16
2009,96,83,13
2009,93,85,8
2009,86,78,8
2009,98,90,8
2009,96,90,6
2009,110,94,16
2009,114,93,21
2009,98,90,8
2009,97,84,13
2009,107,96,11
2009,97,90,7
2009,97,85,12
2009,117,104,13
2009,102,93,9
2009,94,86,8
2009,105,90,15
2009,88,82,6
2009,97,89,8
2009,118,101,17
2009,98,78,20
2009,110,101,9
2009,93,85,8
2009,95,82,13
2009,98,88,10
2009,107,95,12
2009,102,89,13
2009,110,95,15
2009,100,87,13
2009,120,110,10
2009,93,84,9
2009,107,104,3
2009,115,99,16
2009,109,99,10
2009,99,93,6
2009,90,80,10
2009,108,95,13
2009,112,104,8
2009,126,117,9
2009,91,82,9
2009,107,97,10
2009,123,114,9
2009,120,110,10
2009,97,81,16
2009,122,105,17
2009,84,78,6
2009,105,91,14
2009,110,99,11
2009,122,107,15
2009,114,100,14
2009,132,112,20
2009,108,95,13
2009,105,92,13
2009,109,102,7
2009,123,112,11
2009,131,109,22
2009,102,92,10
2009,108,97,11
2009,125,117,8
2009,108,99,9
2009,110,96,14
2009,98,92,6
2009,109,102,7
2009,122,113,9
2009,120,106,14
2009,131,115,16
2009,91,83,8
2009,99,86,13
2009,123,113,10
2009,142,122,20
2009,145,133,12
2009,122,103,19
2009,121,107,14
2009,109,101,8
2009,121,102,19
2009,133,129,4
2009,101,90,11
2009,109,100,9
2009,102,87,15
2009,107,96,11
