year,total_death,Jews_and_others_total_death,Arabs_total_death
2007,173,154,19
2007,154,135,19
2007,171,156,15
2007,173,149,24
2007,132,115,17
2007,180,156,24
2007,167,149,18
2007,164,153,11
2007,162,152,10
2007,153,137,16
2007,164,144,20
2007,148,137,11
2007,132,121,11
2007,170,151,19
2007,177,162,15
2007,153,140,13
2007,165,155,10
2007,159,145,14
2007,149,133,16
2007,148,136,12
2007,154,137,17
2007,150,137,13
2007,139,126,13
2007,161,148,13
2007,157,140,17
2007,127,115,12
2007,145,136,9
2007,154,146,8
2007,139,132,7
2007,138,120,18
2007,135,124,11
2007,127,113,14
2007,118,101,17
2007,126,108,18
2007,146,134,12
2007,141,125,16
2007,130,121,9
2007,125,113,12
2007,114,106,8
2007,124,115,9
2007,144,131,13
2007,137,122,15
2007,122,113,9
2007,141,122,19
2007,130,115,15
2007,146,124,22
2007,114,105,9
2007,105,97,8
2007,119,111,8
2007,103,91,12
2007,128,111,17
2007,132,121,11
2007,115,107,8
2007,148,126,22
2007,129,118,11
2007,110,101,9
2007,129,118,11
2007,123,114,9
2007,119,116,3
2007,136,125,11
2007,127,106,21
2007,120,110,10
2007,152,133,19
2007,143,137,6
2007,105,94,11
2007,113,100,13
2007,122,109,13
2007,119,107,12
2007,122,105,17
2007,123,112,11
2007,122,105,17
2007,125,112,13
2007,105,86,19
2007,120,106,14
2007,104,96,8
2007,118,106,12
2007,135,124,11
2007,116,110,6
2007,123,110,13
2007,122,99,23
2007,108,99,9
2007,120,113,7
2007,129,120,9
2007,119,109,10
2007,124,117,7
2007,110,100,10
2007,117,109,8
2007,131,120,11
2007,107,92,15
2007,99,94,5
2007,116,104,12
2007,135,119,16
2007,120,106,14
2007,101,93,8
2007,124,117,7
2007,109,96,13
2007,112,99,13
2007,129,121,8
2007,95,87,8
2007,103,94,9
2007,110,98,12
2007,121,104,17
2007,115,104,11
2007,121,103,18
2007,99,89,10
2007,86,81,5
2007,121,112,9
2007,107,96,11
2007,125,111,14
2007,125,113,12
2007,111,101,10
2007,97,89,8
2007,125,116,9
2007,102,91,11
2007,103,90,13
2007,109,98,11
2007,102,96,6
2007,95,88,7
2007,99,88,11
2007,110,96,14
2007,89,82,7
2007,88,78,10
2007,120,112,8
2007,127,115,12
2007,90,83,7
2007,107,92,15
2007,94,84,10
2007,105,88,17
2007,98,91,7
2007,109,94,15
2007,98,91,7
2007,112,98,14
2007,97,88,9
2007,93,83,10
2007,103,92,11
2007,91,81,10
2007,91,79,12
2007,92,82,10
2007,93,84,9
2007,99,83,16
2007,97,87,10
2007,87,76,11
2007,90,78,12
2007,93,83,10
2007,100,94,6
2007,96,78,18
2007,99,94,5
2007,110,101,9
2007,113,101,12
2007,121,114,7
2007,81,71,10
2007,89,81,8
2007,98,81,17
2007,106,94,12
2007,89,85,4
2007,93,83,10
2007,75,70,5
2007,95,88,7
2007,84,77,7
2007,97,86,11
2007,93,87,6
2007,90,83,7
2007,100,91,9
2007,88,82,6
2007,89,82,7
2007,92,84,8
2007,85,71,14
2007,88,77,11
2007,81,74,7
2007,90,81,9
2007,80,73,7
2007,101,86,15
2007,122,111,11
2007,97,88,9
2007,90,81,9
2007,128,109,19
2007,100,88,12
2007,100,90,10
2007,105,94,11
2007,96,84,12
2007,101,94,7
2007,100,93,7
2007,106,97,9
2007,100,91,9
2007,108,99,9
2007,99,90,9
2007,86,75,11
2007,91,83,8
2007,103,99,4
2007,94,86,8
2007,80,76,4
2007,78,68,10
2007,95,83,12
2007,101,92,9
2007,79,67,12
2007,98,89,9
2007,99,91,8
2007,89,81,8
2007,120,105,15
2007,102,97,5
2007,97,83,14
2007,92,84,8
2007,109,100,9
2007,93,82,11
2007,90,82,8
2007,88,79,9
2007,104,94,10
2007,100,93,7
2007,102,88,14
2007,115,106,9
2007,111,94,17
2007,99,90,9
2007,100,94,6
2007,108,102,6
2007,89,78,11
2007,111,104,7
2007,88,77,11
2007,95,88,7
2007,98,85,13
2007,96,85,11
2007,99,91,8
2007,84,71,13
2007,110,97,13
2007,99,84,15
2007,101,92,9
2007,90,82,8
2007,89,82,7
2007,93,79,14
2007,97,89,8
2007,100,88,12
2007,93,86,7
2007,94,90,4
2007,76,66,10
2007,91,82,9
2007,99,89,10
2007,119,106,13
2007,102,94,8
2007,102,96,6
2007,98,88,10
2007,96,86,10
2007,80,69,11
2007,104,89,15
2007,94,82,12
2007,105,92,13
2007,91,79,12
2007,82,69,13
2007,101,90,11
2007,107,96,11
2007,76,69,7
2007,109,103,6
2007,99,89,10
2007,94,82,12
2007,93,77,16
2007,98,88,10
2007,96,87,9
2007,89,68,21
2007,104,97,7
2007,96,81,15
2007,109,101,8
2007,106,94,12
2007,85,75,10
2007,91,78,13
2007,91,81,10
2007,99,92,7
2007,108,94,14
2007,116,101,15
2007,93,82,11
2007,107,94,13
2007,108,96,12
2007,104,94,10
2007,93,78,15
2007,99,84,15
2007,118,111,7
2007,96,85,11
2007,87,76,11
2007,109,102,7
2007,108,96,12
2007,87,78,9
2007,91,82,9
2007,102,92,10
2007,91,82,9
2007,103,93,10
2007,102,90,12
2007,106,92,14
2007,100,87,13
2007,86,75,11
2007,87,70,17
2007,79,70,9
2007,84,79,5
2007,95,88,7
2007,108,102,6
2007,117,106,11
2007,94,82,12
2007,103,88,15
2007,111,96,15
2007,102,94,8
2007,109,99,10
2007,95,78,17
2007,111,103,8
2007,94,83,11
2007,116,107,9
2007,86,77,9
2007,111,100,11
2007,107,96,11
2007,114,98,16
2007,88,75,13
2007,96,87,9
2007,87,83,4
2007,108,99,9
2007,102,88,14
2007,91,86,5
2007,102,88,14
2007,120,106,14
2007,89,80,9
2007,121,105,16
2007,113,96,17
2007,101,94,7
2007,112,94,18
2007,108,97,11
2007,121,115,6
2007,91,85,6
2007,86,78,8
2007,107,97,10
2007,114,101,13
2007,95,89,6
2007,102,94,8
2007,93,80,13
2007,111,100,11
2007,112,97,15
2007,123,113,10
2007,103,92,11
2007,114,100,14
2007,108,94,14
2007,112,103,9
2007,123,110,13
2007,109,97,12
2007,85,74,11
2007,108,99,9
2007,98,92,6
2007,108,100,8
2007,112,101,11
2007,100,93,7
2007,108,90,18
2007,111,99,12
2007,112,103,9
2007,99,92,7
