year,total_death,Jews_and_others_total_death,Arabs_total_death
2015,134,122,12
2015,151,133,18
2015,152,133,19
2015,141,124,17
2015,127,113,14
2015,163,143,20
2015,157,141,16
2015,129,114,15
2015,150,129,21
2015,125,111,14
2015,169,150,19
2015,122,108,14
2015,145,133,12
2015,144,127,17
2015,140,125,15
2015,157,138,19
2015,142,127,15
2015,138,119,19
2015,171,152,19
2015,143,119,24
2015,138,130,8
2015,144,126,18
2015,153,138,15
2015,153,140,13
2015,166,142,24
2015,174,145,29
2015,163,150,13
2015,130,114,16
2015,140,124,16
2015,153,138,15
2015,146,127,19
2015,165,147,18
2015,162,145,17
2015,136,116,20
2015,147,132,15
2015,146,128,18
2015,145,127,18
2015,167,148,19
2015,146,131,15
2015,137,127,10
2015,141,125,16
2015,156,132,24
2015,136,126,10
2015,142,126,16
2015,169,146,23
2015,159,144,15
2015,140,124,16
2015,153,138,15
2015,132,112,20
2015,148,129,19
2015,148,136,12
2015,155,134,21
2015,143,132,11
2015,129,110,19
2015,158,147,11
2015,142,123,19
2015,145,130,15
2015,136,122,14
2015,133,120,13
2015,141,130,11
2015,167,152,15
2015,142,129,13
2015,145,129,16
2015,122,106,16
2015,135,114,21
2015,143,125,18
2015,169,150,19
2015,157,140,17
2015,143,125,18
2015,149,133,16
2015,136,120,16
2015,109,97,12
2015,131,120,11
2015,130,113,17
2015,114,103,11
2015,123,112,11
2015,138,126,12
2015,121,98,23
2015,106,89,17
2015,110,91,19
2015,118,105,13
2015,114,102,12
2015,141,124,17
2015,142,122,20
2015,124,111,13
2015,133,116,17
2015,148,135,13
2015,133,112,21
2015,135,113,22
2015,134,117,17
2015,130,112,18
2015,136,118,18
2015,107,99,8
2015,114,100,14
2015,127,111,16
2015,121,106,15
2015,112,99,13
2015,98,89,9
2015,121,109,12
2015,127,114,13
2015,111,101,10
2015,121,106,15
2015,100,90,10
2015,94,81,13
2015,112,103,9
2015,125,111,14
2015,112,98,14
2015,96,82,14
2015,115,106,9
2015,113,99,14
2015,115,102,13
2015,133,124,9
2015,110,99,11
2015,111,99,12
2015,113,101,12
2015,127,110,17
2015,108,93,15
2015,114,96,18
2015,111,103,8
2015,115,102,13
2015,103,92,11
2015,118,106,12
2015,104,90,14
2015,119,99,20
2015,121,110,11
2015,119,103,16
2015,126,112,14
2015,126,105,21
2015,122,107,15
2015,115,108,7
2015,120,103,17
2015,109,90,19
2015,116,108,8
2015,104,92,12
2015,104,89,15
2015,104,94,10
2015,120,112,8
2015,132,116,16
2015,116,106,10
2015,118,102,16
2015,119,105,14
2015,116,106,10
2015,105,93,12
2015,116,102,14
2015,101,85,16
2015,126,109,17
2015,99,89,10
2015,124,112,12
2015,110,97,13
2015,97,87,10
2015,101,95,6
2015,106,85,21
2015,109,94,15
2015,93,89,4
2015,108,92,16
2015,73,69,4
2015,118,105,13
2015,118,106,12
2015,111,92,19
2015,94,85,9
2015,100,82,18
2015,107,93,14
2015,100,83,17
2015,90,79,11
2015,116,99,17
2015,105,94,11
2015,118,102,16
2015,120,110,10
2015,115,104,11
2015,106,96,10
2015,83,67,16
2015,104,93,11
2015,102,94,8
2015,119,106,13
2015,115,100,15
2015,113,99,14
2015,108,93,15
2015,100,87,13
2015,110,100,10
2015,107,97,10
2015,129,114,15
2015,114,100,14
2015,108,92,16
2015,110,103,7
2015,98,86,12
2015,104,100,4
2015,97,88,9
2015,129,116,13
2015,95,83,12
2015,111,103,8
2015,111,99,12
2015,101,89,12
2015,99,89,10
2015,103,91,12
2015,114,97,17
2015,113,103,10
2015,97,82,15
2015,101,86,15
2015,96,87,9
2015,109,89,20
2015,104,86,18
2015,115,102,13
2015,115,110,5
2015,111,97,14
2015,117,97,20
2015,107,90,17
2015,114,97,17
2015,100,90,10
2015,85,73,12
2015,116,104,12
2015,102,83,19
2015,92,81,11
2015,109,102,7
2015,119,106,13
2015,137,111,26
2015,122,103,19
2015,138,124,14
2015,126,115,11
2015,122,106,16
2015,114,106,8
2015,105,87,18
2015,111,99,12
2015,101,87,14
2015,95,83,12
2015,122,113,9
2015,99,90,9
2015,100,91,9
2015,114,102,12
2015,130,115,15
2015,121,109,12
2015,97,84,13
2015,126,115,11
2015,106,95,11
2015,116,103,13
2015,120,105,15
2015,105,93,12
2015,105,94,11
