year,total_death,Jews_and_others_total_death,Arabs_total_death
2011,117,98,14
2011,126,107,10
2011,128,109,8
2011,107,95,8
2011,122,106,9
2011,117,98,9
2011,142,128,8
2011,127,113,9
2011,120,96,12
2011,95,81,11
2011,137,116,14
2011,129,117,7
2011,117,100,8
