year,total_death,Jews_and_others_total_death,Arabs_total_death
2014,136,116,20
2014,121,107,14
2014,145,131,14
2014,131,109,22
2014,118,104,14
2014,138,120,18
2014,142,133,9
2014,124,111,13
2014,127,114,13
2014,109,92,17
2014,124,113,11
2014,140,128,12
2014,144,127,17
2014,158,134,24
2014,136,121,15
2014,121,108,13
2014,123,105,18
2014,138,123,15
2014,128,116,12
2014,118,104,14
2014,130,115,15
2014,125,116,9
2014,127,113,14
2014,123,109,14
2014,103,85,18
2014,114,101,13
2014,164,146,18
2014,111,101,10
2014,131,120,11
2014,123,111,12
2014,136,121,15
2014,117,104,13
2014,110,97,13
2014,122,109,13
2014,122,112,10
2014,147,129,18
2014,116,103,13
2014,115,106,9
2014,132,124,8
2014,137,121,16
2014,129,111,18
2014,159,141,18
2014,153,140,13
2014,135,124,11
2014,164,142,22
2014,139,120,19
2014,150,134,16
2014,149,127,22
2014,142,129,13
2014,141,118,23
2014,133,120,13
2014,136,120,16
2014,101,92,9
2014,136,125,11
2014,130,120,10
2014,139,120,19
2014,121,105,16
2014,167,150,17
2014,109,97,12
2014,130,114,16
2014,115,100,15
2014,137,121,16
2014,139,120,19
2014,138,123,15
2014,139,124,15
2014,127,118,9
2014,146,132,14
2014,160,136,24
2014,145,134,11
2014,125,111,14
2014,134,114,20
2014,127,114,13
2014,124,112,12
2014,137,126,11
2014,115,100,15
2014,141,123,18
2014,128,108,20
2014,106,97,9
2014,132,124,8
2014,130,109,21
2014,130,110,20
2014,144,121,23
2014,134,125,9
2014,118,106,12
2014,116,107,9
2014,140,123,17
2014,95,87,8
2014,120,110,10
2014,119,105,14
2014,102,94,8
2014,101,93,8
2014,110,101,9
2014,114,96,18
2014,118,97,21
2014,117,104,13
2014,125,112,13
2014,124,112,12
2014,132,122,10
2014,118,105,13
2014,128,113,15
2014,118,110,8
2014,110,99,11
2014,122,112,10
2014,115,104,11
2014,108,94,14
2014,111,98,13
2014,107,96,11
2014,122,109,13
2014,124,111,13
2014,122,110,12
2014,113,103,10
2014,115,103,12
2014,121,107,14
2014,115,106,9
2014,109,96,13
2014,105,100,5
2014,112,96,16
2014,105,97,8
2014,129,112,17
2014,110,99,11
2014,114,104,10
2014,103,88,15
2014,103,94,9
2014,110,97,13
2014,114,95,19
2014,98,76,22
2014,131,120,11
2014,117,104,13
2014,104,87,17
2014,109,100,9
2014,97,84,13
2014,102,96,6
2014,93,84,9
2014,102,93,9
2014,106,93,13
2014,101,93,8
2014,106,98,8
2014,108,97,11
2014,125,104,21
2014,102,84,18
2014,116,102,14
2014,119,99,20
2014,98,87,11
2014,88,78,10
2014,102,93,9
2014,99,84,15
2014,114,103,11
2014,120,99,21
2014,112,96,16
2014,118,111,7
2014,103,93,10
2014,98,87,11
2014,119,103,16
2014,116,97,19
2014,106,93,13
2014,110,96,14
2014,86,75,11
2014,107,96,11
2014,107,97,10
2014,105,92,13
2014,109,99,10
2014,120,104,16
2014,97,81,16
2014,79,68,11
2014,97,87,10
2014,109,93,16
2014,86,77,9
2014,92,83,9
2014,119,99,20
2014,98,85,13
2014,113,98,15
2014,105,85,20
2014,112,98,14
2014,120,99,21
2014,103,89,14
2014,108,92,16
2014,85,70,15
2014,92,83,9
2014,91,85,6
2014,98,89,9
2014,106,98,8
2014,100,91,9
2014,106,92,14
2014,109,92,17
2014,109,99,10
2014,110,105,5
2014,95,86,9
2014,117,105,12
2014,86,78,8
2014,123,111,12
2014,89,79,10
2014,114,107,7
2014,101,91,10
2014,112,97,15
2014,95,89,6
2014,117,105,12
2014,124,112,12
2014,100,89,11
2014,112,95,17
2014,103,91,12
2014,119,113,6
2014,102,88,14
2014,102,88,14
2014,113,103,10
2014,108,96,12
2014,103,94,9
2014,103,90,13
2014,112,101,11
2014,120,109,11
2014,109,96,13
2014,113,99,14
2014,110,98,12
2014,109,100,9
2014,97,86,11
2014,88,76,12
2014,105,87,18
2014,90,77,13
2014,104,92,12
2014,97,87,10
2014,104,92,12
2014,104,90,14
2014,109,97,12
2014,106,96,10
2014,110,100,10
2014,111,98,13
2014,88,74,14
2014,84,75,9
2014,97,83,14
2014,115,105,10
2014,121,111,10
2014,100,90,10
2014,96,87,9
2014,109,92,17
2014,128,112,16
2014,95,89,6
2014,88,78,10
2014,121,111,10
2014,101,87,14
2014,111,95,16
2014,102,93,9
2014,110,95,15
2014,98,84,14
2014,98,85,13
2014,104,86,18
2014,112,99,13
2014,109,95,14
2014,91,79,12
2014,86,76,10
2014,113,100,13
2014,98,89,9
2014,107,97,10
2014,91,79,12
2014,91,83,8
2014,91,78,13
2014,107,95,12
2014,116,103,13
2014,119,104,15
2014,121,107,14
2014,117,107,10
2014,106,96,10
2014,120,111,9
2014,101,88,13
2014,100,93,7
2014,118,102,16
2014,115,104,11
2014,118,109,9
2014,101,84,17
2014,109,97,12
2014,112,97,15
2014,99,88,11
2014,103,91,12
2014,95,84,11
2014,109,89,20
2014,98,86,12
2014,131,118,13
2014,116,106,10
2014,117,104,13
2014,101,93,8
2014,118,104,14
2014,126,113,13
2014,120,112,8
2014,125,107,18
2014,115,104,11
2014,112,100,12
2014,95,84,11
2014,101,90,11
2014,124,102,22
2014,120,104,16
2014,117,98,19
2014,104,90,14
2014,115,104,11
2014,128,113,15
2014,101,89,12
2014,119,102,17
2014,106,92,14
2014,110,99,11
2014,129,104,25
2014,104,88,16
2014,130,121,9
2014,100,89,11
2014,138,115,23
2014,100,92,8
2014,116,106,10
2014,114,103,11
2014,97,89,8
2014,108,94,14
2014,114,98,16
2014,120,101,19
2014,103,89,14
2014,101,89,12
2014,109,93,16
2014,112,103,9
2014,120,107,13
2014,122,109,13
2014,123,105,18
2014,111,98,13
2014,112,97,15
2014,125,111,14
2014,123,108,15
2014,103,82,21
2014,93,82,11
2014,106,93,13
2014,98,82,16
2014,116,108,8
2014,119,101,18
2014,128,112,16
2014,111,93,18
2014,107,95,12
2014,113,104,9
2014,103,90,13
2014,135,126,9
2014,128,112,16
2014,121,107,14
2014,140,121,19
2014,142,118,24
2014,138,126,12
2014,98,87,11
2014,142,128,14
2014,113,100,13
2014,132,121,11
2014,115,107,8
2014,99,86,13
2014,115,98,17
2014,120,103,17
2014,117,101,16
2014,145,127,18
2014,135,111,24
2014,144,124,20
2014,118,106,12
2014,124,108,16
2014,113,105,8
2014,134,123,11
2014,109,101,8
2014,112,93,19
2014,138,125,13
2014,129,114,15
2014,112,104,8
2014,124,110,14
2014,125,104,21
2014,115,100,15
2014,147,134,13
2014,124,108,16
2014,121,110,11
2014,115,98,17
2014,122,107,15
