year,total_death,Jews_and_others_total_death,Arabs_total_death
2005,154,135,19
2005,137,122,15
2005,137,121,16
2005,148,137,11
2005,120,102,18
2005,152,137,15
2005,163,154,9
2005,132,128,4
2005,157,139,18
2005,145,134,11
2005,139,132,7
2005,159,149,10
2005,162,144,18
2005,144,134,10
2005,161,148,13
2005,151,138,13
2005,144,130,14
2005,129,119,10
2005,156,139,17
2005,133,123,10
2005,156,140,16
2005,124,111,13
2005,162,153,9
2005,155,140,15
2005,142,129,13
2005,132,115,17
2005,133,125,8
2005,155,141,14
2005,140,129,11
2005,138,127,11
2005,176,158,18
2005,151,132,19
2005,137,126,11
2005,120,111,9
2005,137,125,12
2005,132,122,10
2005,137,130,7
2005,151,137,14
2005,124,110,14
2005,145,139,6
2005,130,118,12
2005,113,97,16
2005,122,108,14
2005,146,136,10
2005,146,134,12
2005,140,120,20
2005,131,122,9
2005,130,116,14
2005,137,126,11
2005,144,130,14
2005,137,120,17
2005,129,117,12
2005,117,104,13
2005,128,114,14
2005,116,106,10
2005,121,111,10
2005,103,93,10
2005,117,108,9
2005,150,136,14
2005,113,107,6
2005,109,99,10
2005,130,112,18
2005,127,114,13
2005,127,116,11
2005,127,110,17
2005,111,105,6
2005,106,96,10
2005,121,113,8
2005,110,97,13
2005,110,104,6
2005,113,100,13
2005,100,90,10
2005,102,96,6
2005,93,86,7
2005,97,87,10
2005,95,87,8
2005,108,101,7
2005,96,90,6
2005,103,94,9
2005,97,87,10
2005,114,98,16
2005,105,93,12
2005,120,110,10
2005,108,104,4
2005,106,97,9
2005,131,119,12
2005,119,110,9
2005,116,103,13
2005,104,89,15
2005,145,125,20
2005,89,83,6
2005,100,89,11
2005,124,115,9
2005,110,93,17
2005,99,86,13
2005,108,96,12
2005,91,84,7
2005,119,108,11
2005,103,95,8
2005,130,115,15
2005,129,118,11
2005,123,107,16
2005,128,109,19
2005,100,88,12
2005,102,92,10
2005,98,85,13
2005,86,74,12
2005,108,96,12
2005,102,88,14
2005,104,88,16
2005,124,110,14
2005,114,105,9
2005,110,96,14
2005,94,85,9
2005,111,103,8
2005,101,93,8
2005,108,95,13
2005,86,78,8
2005,102,95,7
2005,101,89,12
2005,113,108,5
2005,109,95,14
2005,92,87,5
2005,98,87,11
2005,101,91,10
2005,122,106,16
2005,96,88,8
2005,105,98,7
2005,99,89,10
2005,98,81,17
2005,95,86,9
2005,104,95,9
2005,112,98,14
2005,83,73,10
2005,97,82,15
2005,107,96,11
2005,83,75,8
2005,124,108,16
2005,85,74,11
2005,100,95,5
2005,91,83,8
2005,101,93,8
2005,102,94,8
2005,97,90,7
2005,91,81,10
2005,93,82,11
2005,99,86,13
2005,92,86,6
2005,97,85,12
2005,84,74,10
2005,78,70,8
2005,95,86,9
2005,91,82,9
2005,103,97,6
2005,97,90,7
2005,102,92,10
2005,102,94,8
2005,101,87,14
2005,89,85,4
2005,102,91,11
2005,82,77,5
2005,90,84,6
2005,93,84,9
2005,86,75,11
2005,96,84,12
2005,87,77,10
2005,100,87,13
2005,103,89,14
2005,87,76,11
2005,97,91,6
2005,94,81,13
2005,112,103,9
2005,105,91,14
2005,90,76,14
2005,90,81,9
2005,97,89,8
2005,123,109,14
2005,93,85,8
2005,93,85,8
2005,80,73,7
2005,85,72,13
2005,92,86,6
2005,73,67,6
2005,90,82,8
2005,97,91,6
2005,93,81,12
2005,121,105,16
2005,92,82,10
2005,88,77,11
2005,84,79,5
2005,86,79,7
2005,87,74,13
2005,93,83,10
2005,82,80,2
2005,95,87,8
2005,96,89,7
2005,85,79,6
2005,91,80,11
2005,102,89,13
2005,78,71,7
2005,114,98,16
2005,86,79,7
2005,111,105,6
2005,99,89,10
