year,total_death,Jews_and_others_total_death,Arabs_total_death
2018,155,142,13
2018,135,125,10
2018,133,111,22
2018,141,122,19
2018,137,118,19
2018,149,126,23
2018,160,144,16
2018,148,126,22
2018,136,122,14
2018,157,142,15
2018,156,145,11
2018,153,132,21
2018,130,118,12
2018,119,106,13
2018,123,108,15
2018,142,128,14
2018,143,129,14
2018,156,142,14
2018,164,141,23
2018,136,116,20
2018,152,137,15
2018,139,129,10
2018,131,120,11
2018,138,124,14
2018,152,141,11
2018,141,125,16
2018,140,130,10
2018,165,155,10
2018,159,140,19
2018,146,123,23
2018,153,137,16
2018,153,135,18
2018,129,107,22
2018,150,133,17
2018,125,111,14
2018,144,119,25
2018,145,123,22
2018,140,125,15
2018,120,107,13
2018,138,118,20
2018,139,121,18
2018,163,140,23
2018,133,117,16
2018,165,135,30
2018,119,106,13
2018,146,132,14
2018,142,130,12
2018,173,157,16
2018,132,118,14
2018,133,115,18
2018,149,133,16
2018,125,117,8
2018,146,130,16
2018,131,116,15
2018,150,138,12
2018,140,129,11
2018,125,108,17
2018,131,114,17
2018,119,100,19
2018,133,118,15
2018,139,129,10
2018,142,122,20
2018,145,132,13
2018,132,120,12
2018,132,119,13
2018,146,123,23
2018,130,111,19
2018,127,104,23
2018,115,105,10
2018,127,115,12
2018,149,132,17
2018,110,87,23
2018,124,112,12
2018,129,121,8
2018,128,112,16
2018,130,116,14
2018,137,120,17
2018,136,122,14
2018,129,117,12
2018,125,110,15
2018,134,116,18
2018,105,85,20
2018,121,103,18
2018,118,101,17
2018,117,105,12
2018,123,109,14
2018,150,127,23
2018,129,111,18
2018,113,97,16
2018,116,108,8
2018,124,107,17
2018,130,114,16
2018,123,107,16
2018,148,130,18
2018,118,105,13
2018,115,101,14
2018,105,92,13
2018,107,93,14
2018,106,100,6
2018,117,108,9
2018,114,102,12
2018,113,99,14
2018,94,87,7
2018,133,115,18
2018,113,101,12
2018,125,108,17
2018,109,95,14
2018,119,103,16
2018,106,95,11
2018,109,97,12
2018,116,99,17
2018,119,103,16
2018,98,87,11
2018,114,93,21
2018,114,100,14
2018,115,101,14
2018,101,89,12
2018,134,124,10
2018,123,97,26
2018,112,97,15
2018,119,113,6
2018,102,86,16
2018,115,104,11
2018,118,102,16
2018,123,108,15
2018,123,107,16
2018,109,98,11
2018,113,95,18
2018,116,106,10
2018,128,109,19
2018,123,104,19
2018,88,79,9
2018,120,102,18
2018,107,96,11
2018,88,78,10
2018,125,105,20
2018,123,106,17
2018,117,103,14
2018,121,107,14
2018,139,122,17
2018,118,109,9
2018,142,130,12
2018,133,119,14
2018,103,94,9
2018,94,86,8
2018,111,95,16
2018,117,106,11
2018,103,90,13
2018,115,104,11
2018,108,94,14
2018,121,107,14
2018,118,105,13
2018,103,89,14
2018,95,84,11
2018,116,101,15
2018,120,112,8
2018,128,118,10
2018,133,115,18
2018,82,78,4
2018,116,97,19
2018,125,116,9
2018,119,107,12
2018,79,66,13
2018,115,107,8
2018,133,110,23
2018,80,72,8
2018,84,74,10
2018,108,98,10
2018,111,97,14
2018,135,123,12
2018,115,101,14
2018,109,100,9
2018,107,95,12
2018,114,101,13
2018,131,109,22
2018,117,99,18
2018,105,96,9
2018,107,100,7
2018,104,92,12
2018,113,104,9
2018,105,90,15
2018,111,100,11
2018,118,105,13
2018,104,88,16
2018,113,96,17
2018,120,108,12
2018,120,106,14
2018,112,98,14
2018,101,88,13
2018,116,103,13
2018,112,99,13
2018,115,101,14
2018,114,99,15
2018,127,111,16
2018,113,90,23
2018,115,94,21
2018,118,105,13
2018,134,114,20
2018,101,90,11
2018,115,98,17
2018,92,82,10
2018,115,98,17
2018,104,95,9
2018,114,102,12
2018,131,120,11
2018,96,86,10
2018,118,102,16
2018,109,100,9
2018,105,97,8
2018,127,114,13
2018,116,101,15
2018,90,77,13
2018,137,119,18
2018,115,99,16
2018,102,90,12
