year,total_death,Jews_and_others_total_death,Arabs_total_death
2021,159,120,39
2021,159,136,23
2021,124,103,21
2021,184,153,31
2021,151,129,22
2021,193,167,26
2021,195,163,32
2021,177,148,29
2021,124,107,17
2021,186,165,21
2021,151,131,20
2021,178,156,22
2021,185,158,27
2021,194,165,29
2021,177,151,26
2021,169,155,14
2021,200,175,25
2021,176,154,22
2021,140,128,12
2021,198,180,18
2021,171,144,27
2021,186,159,27
2021,179,150,29
2021,224,192,32
2021,176,139,37
2021,178,153,25
2021,197,170,27
2021,187,166,21
2021,189,170,19
2021,173,150,23
2021,195,159,36
2021,188,167,21
2021,175,151,24
2021,193,165,28
2021,194,168,26
2021,170,150,20
2021,177,143,34
2021,154,127,27
2021,160,132,28
2021,189,161,28
2021,159,136,23
2021,164,132,32
2021,164,139,25
2021,172,151,21
2021,174,148,26
2021,139,127,12
2021,156,135,21
2021,162,139,23
2021,158,120,38
2021,153,125,28
2021,160,144,16
2021,155,131,24
2021,137,123,14
2021,155,137,18
2021,140,118,22
2021,151,129,22
2021,155,127,28
2021,128,107,21
2021,140,126,14
2021,126,101,25
2021,141,115,26
2021,147,129,18
2021,131,105,26
2021,134,111,23
2021,153,138,15
2021,150,126,24
2021,137,114,23
2021,152,131,21
2021,164,132,32
2021,149,131,18
2021,156,133,23
2021,147,125,22
2021,135,112,23
2021,151,131,20
2021,169,152,17
2021,141,117,24
2021,144,127,17
2021,141,117,24
2021,144,120,24
2021,169,137,32
2021,152,139,13
2021,157,140,17
2021,142,121,21
2021,146,132,14
2021,143,130,13
2021,123,109,14
2021,131,115,16
2021,117,95,22
2021,130,111,19
2021,145,117,28
2021,138,120,18
2021,126,108,18
2021,113,94,19
2021,150,135,15
2021,161,146,15
2021,169,147,22
2021,142,116,26
2021,141,125,16
2021,134,115,19
2021,134,114,20
2021,123,104,19
2021,124,106,18
2021,134,96,38
2021,121,106,15
2021,129,120,9
2021,131,111,20
2021,136,117,19
2021,145,126,19
2021,132,114,18
2021,131,110,21
2021,133,118,15
2021,115,92,23
2021,115,104,11
2021,130,116,14
2021,115,101,14
2021,136,119,17
2021,121,100,21
2021,126,108,18
2021,120,106,14
2021,155,139,16
2021,99,92,7
2021,124,109,15
2021,105,96,9
2021,122,106,16
2021,135,123,12
2021,127,110,17
2021,125,103,22
2021,118,99,19
2021,116,103,13
2021,127,111,16
2021,142,128,14
2021,127,111,16
2021,120,107,13
2021,121,107,14
2021,119,105,14
2021,138,129,9
2021,128,111,17
2021,126,112,14
2021,127,119,8
2021,133,119,14
2021,130,113,17
2021,102,96,6
2021,111,96,15
2021,102,94,8
2021,108,91,17
2021,106,94,12
2021,113,104,9
2021,112,98,14
2021,114,100,14
2021,110,96,14
