year,total_death,Jews_and_others_total_death,Arabs_total_death
2016,149,131,18
2016,140,115,25
2016,157,141,16
2016,145,130,15
2016,136,126,10
2016,144,122,22
2016,143,128,15
2016,147,124,23
2016,148,129,19
2016,149,133,16
2016,151,133,18
2016,138,119,19
2016,137,119,18
2016,138,117,21
2016,162,149,13
2016,159,145,14
2016,134,115,19
2016,135,113,22
2016,136,117,19
2016,136,118,18
2016,151,131,20
2016,111,100,11
2016,119,104,15
2016,157,136,21
2016,133,122,11
2016,149,133,16
2016,122,111,11
2016,147,139,8
2016,121,103,18
2016,127,114,13
2016,157,140,17
2016,157,135,22
2016,147,132,15
2016,148,133,15
2016,166,143,23
2016,158,144,14
2016,161,141,20
2016,160,137,23
2016,138,122,16
2016,161,140,21
2016,167,152,15
2016,145,134,11
2016,154,135,19
2016,167,148,19
2016,145,130,15
2016,140,125,15
2016,135,124,11
2016,153,136,17
2016,152,128,24
2016,143,120,23
2016,148,136,12
2016,136,120,16
2016,124,107,17
2016,131,116,15
2016,135,119,16
2016,129,109,20
2016,136,112,24
2016,116,99,17
2016,134,125,9
2016,130,109,21
2016,136,121,15
2016,156,140,16
2016,146,131,15
2016,120,104,16
2016,98,90,8
2016,110,94,16
2016,124,111,13
2016,117,101,16
2016,113,97,16
2016,132,123,9
2016,133,113,20
2016,106,96,10
2016,113,98,15
2016,144,124,20
2016,126,111,15
2016,105,96,9
2016,115,104,11
2016,105,86,19
2016,117,101,16
2016,121,105,16
2016,112,98,14
2016,117,104,13
2016,112,102,10
2016,116,100,16
2016,105,90,15
2016,112,99,13
2016,115,101,14
2016,104,96,8
2016,115,100,15
2016,114,105,9
2016,120,102,18
2016,119,105,14
2016,114,102,12
2016,124,111,13
2016,131,122,9
2016,146,124,22
2016,112,97,15
2016,139,123,16
2016,121,111,10
2016,138,124,14
2016,143,132,11
2016,147,132,15
2016,103,94,9
2016,116,100,16
2016,112,100,12
2016,109,101,8
2016,123,109,14
2016,120,102,18
2016,121,101,20
2016,125,107,18
2016,117,102,15
2016,121,105,16
2016,109,97,12
2016,98,88,10
2016,141,125,16
2016,137,124,13
2016,120,108,12
2016,133,122,11
2016,118,101,17
2016,106,92,14
2016,101,88,13
2016,119,103,16
2016,111,97,14
2016,105,90,15
2016,96,79,17
2016,140,122,18
2016,93,81,12
2016,99,91,8
2016,121,106,15
2016,118,93,25
2016,113,95,18
2016,115,104,11
2016,100,95,5
2016,94,86,8
2016,95,84,11
2016,111,91,20
2016,130,113,17
2016,119,98,21
2016,97,84,13
2016,100,87,13
2016,106,96,10
2016,103,91,12
2016,114,105,9
2016,99,83,16
2016,120,106,14
2016,112,96,16
2016,118,96,22
2016,97,83,14
2016,111,103,8
2016,123,110,13
2016,111,101,10
2016,111,100,11
2016,106,91,15
2016,132,118,14
2016,124,107,17
2016,103,92,11
2016,112,91,21
2016,111,94,17
2016,106,89,17
2016,111,93,18
2016,102,91,11
2016,97,88,9
2016,115,99,16
2016,106,96,10
2016,95,87,8
2016,111,95,16
2016,113,96,17
2016,115,98,17
2016,108,96,12
2016,117,100,17
2016,106,95,11
2016,107,99,8
2016,102,92,10
2016,110,92,18
2016,92,84,8
2016,113,101,12
2016,97,87,10
2016,115,102,13
2016,109,96,13
2016,107,99,8
2016,109,100,9
2016,108,97,11
2016,109,92,17
2016,99,89,10
2016,95,79,16
2016,114,104,10
2016,92,88,4
2016,78,65,13
2016,120,106,14
2016,103,94,9
2016,106,86,20
2016,121,105,16
2016,118,104,14
2016,104,93,11
2016,90,77,13
2016,119,107,12
2016,125,113,12
2016,97,88,9
2016,106,96,10
2016,110,94,16
2016,102,81,21
2016,103,92,11
2016,96,80,16
2016,108,95,13
2016,106,94,12
2016,114,107,7
2016,117,104,13
2016,113,97,16
2016,119,100,19
2016,97,85,12
2016,111,97,14
2016,102,91,11
2016,114,95,19
2016,98,87,11
2016,122,112,10
2016,115,101,14
2016,130,114,16
2016,110,102,8
2016,114,106,8
2016,117,104,13
2016,76,73,3
2016,115,99,16
2016,114,92,22
2016,101,90,11
2016,110,95,15
2016,104,90,14
2016,110,90,20
2016,128,113,15
2016,105,95,10
2016,103,86,17
2016,99,89,10
2016,132,113,19
2016,103,91,12
2016,105,90,15
2016,112,105,7
2016,102,85,17
2016,107,93,14
2016,105,92,13
2016,102,86,16
2016,111,97,14
2016,112,97,15
2016,114,102,12
2016,108,95,13
2016,106,98,8
2016,101,90,11
2016,99,90,9
2016,125,113,12
2016,97,84,13
2016,111,99,12
2016,111,93,18
2016,112,98,14
2016,108,100,8
2016,111,97,14
2016,102,89,13
2016,99,93,6
2016,116,98,18
2016,98,90,8
2016,102,88,14
2016,99,85,14
2016,95,85,10
2016,105,93,12
2016,127,113,14
2016,111,93,18
2016,114,107,7
2016,110,93,17
2016,104,89,15
2016,111,98,13
2016,104,93,11
2016,114,105,9
2016,119,107,12
2016,95,82,13
2016,112,98,14
2016,120,113,7
2016,108,91,17
2016,105,93,12
2016,108,99,9
2016,126,115,11
2016,110,101,9
2016,110,98,12
2016,122,109,13
2016,120,111,9
2016,102,87,15
2016,112,100,12
2016,114,99,15
2016,124,103,21
2016,124,111,13
2016,127,115,12
2016,107,95,12
2016,106,96,10
2016,90,81,9
2016,99,91,8
2016,120,108,12
2016,111,103,8
2016,116,102,14
2016,110,96,14
2016,88,78,10
2016,112,100,12
2016,116,101,15
2016,124,107,17
2016,103,89,14
2016,104,88,16
2016,119,98,21
2016,87,79,8
2016,138,130,8
2016,116,105,11
2016,121,108,13
2016,91,78,13
2016,124,105,19
2016,103,86,17
2016,122,108,14
2016,131,114,17
2016,105,91,14
2016,116,96,20
2016,111,97,14
2016,123,111,12
2016,122,117,5
2016,112,96,16
2016,111,97,14
2016,109,92,17
2016,118,105,13
2016,108,93,15
2016,125,113,12
2016,133,120,13
2016,118,101,17
2016,109,99,10
2016,116,107,9
2016,116,94,22
2016,109,99,10
2016,136,126,10
2016,131,110,21
2016,122,111,11
2016,140,131,9
2016,163,148,15
2016,132,119,13
2016,145,130,15
2016,117,106,11
2016,117,103,14
2016,151,134,17
2016,157,141,16
2016,125,114,11
2016,115,106,9
2016,153,136,17
2016,130,118,12
2016,129,118,11
2016,129,114,15
2016,156,142,14
2016,138,119,19
2016,149,134,15
2016,143,120,23
2016,138,129,9
2016,134,119,15
2016,143,130,13
2016,157,135,22
2016,129,110,19
2016,130,112,18
2016,139,122,17
2016,138,122,16
2016,132,110,22
2016,142,122,20
2016,152,139,13
2016,161,138,23
2016,134,112,22
2016,144,127,17
2016,141,126,15
2016,167,148,19
2016,149,135,14
