year,total_death,Jews_and_others_total_death,Arabs_total_death
2012,144,128,16
2012,152,134,18
2012,115,104,11
2012,126,109,17
2012,98,91,7
2012,135,118,17
2012,105,96,9
2012,121,103,18
2012,131,119,12
2012,135,121,14
2012,118,104,14
2012,137,120,17
2012,145,129,16
2012,123,108,15
2012,112,101,11
2012,145,132,13
2012,121,112,9
2012,130,119,11
2012,130,115,15
2012,125,110,15
2012,134,120,14
2012,135,111,24
2012,135,122,13
2012,123,111,12
2012,128,114,14
2012,145,127,18
2012,128,119,9
2012,128,124,4
2012,124,114,10
2012,148,136,12
2012,109,94,15
2012,144,126,18
2012,144,123,21
2012,134,122,12
2012,126,110,16
2012,140,123,17
2012,140,124,16
2012,158,143,15
2012,134,119,15
2012,151,132,19
2012,139,125,14
2012,137,119,18
2012,159,143,16
2012,113,100,13
2012,143,129,14
2012,133,125,8
2012,113,99,14
2012,149,128,21
2012,124,116,8
2012,131,118,13
2012,135,122,13
2012,130,115,15
2012,145,129,16
2012,153,140,13
2012,152,137,15
2012,120,106,14
2012,135,114,21
2012,159,134,25
2012,141,128,13
2012,134,118,16
2012,158,140,18
2012,146,136,10
2012,128,109,19
2012,138,123,15
2012,130,116,14
2012,139,123,16
2012,143,130,13
2012,121,115,6
2012,139,125,14
2012,129,115,14
2012,151,137,14
2012,147,134,13
2012,136,125,11
2012,128,111,17
2012,141,119,22
2012,136,129,7
2012,119,109,10
2012,136,124,12
2012,126,115,11
2012,145,137,8
2012,138,121,17
2012,137,123,14
2012,128,109,19
2012,139,124,15
2012,139,124,15
2012,143,134,9
2012,119,105,14
2012,132,119,13
2012,134,117,17
2012,105,93,12
2012,116,104,12
2012,129,121,8
2012,114,102,12
2012,154,140,14
2012,138,121,17
2012,141,121,20
2012,127,115,12
2012,128,119,9
2012,151,136,15
2012,138,128,10
2012,120,108,12
2012,119,108,11
2012,116,100,16
2012,107,99,8
2012,115,106,9
2012,119,115,4
2012,115,104,11
2012,108,91,17
2012,113,103,10
2012,118,108,10
2012,105,100,5
2012,124,107,17
2012,108,96,12
2012,106,98,8
2012,119,108,11
2012,109,98,11
2012,105,98,7
2012,111,100,11
2012,113,101,12
2012,103,86,17
2012,125,115,10
2012,125,111,14
2012,123,110,13
2012,113,101,12
2012,105,97,8
2012,102,91,11
2012,111,101,10
2012,102,88,14
2012,109,95,14
2012,103,88,15
2012,106,88,18
2012,101,88,13
2012,103,92,11
2012,108,92,16
2012,124,115,9
2012,127,111,16
2012,99,89,10
2012,111,103,8
2012,125,108,17
2012,99,88,11
2012,96,92,4
2012,103,96,7
2012,109,100,9
2012,90,80,10
2012,116,103,13
2012,104,88,16
2012,89,77,12
2012,109,93,16
2012,121,112,9
2012,106,100,6
2012,97,89,8
2012,102,91,11
2012,99,88,11
2012,98,87,11
2012,117,98,19
2012,94,81,13
2012,102,94,8
2012,101,86,15
2012,104,98,6
2012,110,102,8
2012,97,85,12
2012,94,83,11
2012,108,97,11
2012,94,86,8
2012,90,81,9
2012,101,93,8
2012,102,91,11
2012,93,83,10
2012,104,92,12
2012,86,71,15
2012,98,84,14
2012,115,98,17
2012,101,90,11
2012,94,83,11
2012,122,112,10
2012,93,82,11
2012,123,107,16
2012,104,95,9
2012,113,105,8
2012,80,72,8
2012,99,88,11
2012,119,112,7
2012,116,101,15
2012,104,91,13
2012,119,105,14
2012,127,108,19
2012,85,74,11
2012,98,85,13
2012,87,72,15
2012,104,93,11
2012,107,94,13
2012,96,89,7
2012,106,95,11
2012,111,101,10
2012,105,92,13
2012,107,93,14
2012,86,76,10
2012,91,80,11
2012,109,91,18
2012,105,90,15
2012,113,103,10
2012,103,96,7
2012,93,85,8
2012,110,101,9
2012,107,93,14
2012,86,76,10
2012,104,92,12
2012,96,86,10
2012,100,87,13
2012,95,84,11
2012,105,95,10
2012,102,90,12
2012,110,102,8
2012,90,80,10
2012,105,96,9
2012,105,96,9
2012,85,80,5
2012,106,92,14
2012,108,95,13
2012,116,101,15
2012,96,87,9
2012,109,96,13
2012,94,77,17
2012,100,87,13
2012,97,88,9
2012,104,91,13
2012,106,100,6
2012,90,81,9
2012,111,101,10
2012,108,93,15
2012,93,87,6
2012,109,96,13
2012,112,97,15
2012,105,96,9
2012,100,91,9
2012,105,92,13
2012,112,95,17
2012,102,93,9
2012,112,101,11
2012,86,79,7
2012,98,89,9
2012,114,105,9
2012,93,84,9
2012,101,86,15
2012,90,83,7
2012,123,112,11
2012,98,95,3
2012,111,101,10
2012,101,88,13
2012,113,104,9
2012,98,90,8
2012,92,80,12
2012,110,98,12
2012,98,89,9
2012,116,107,9
2012,107,93,14
2012,96,81,15
2012,87,78,9
2012,93,81,12
2012,105,94,11
2012,109,101,8
2012,125,109,16
2012,120,100,20
2012,99,90,9
2012,114,101,13
2012,101,95,6
2012,134,116,18
2012,91,85,6
2012,102,91,11
2012,84,75,9
2012,92,81,11
2012,121,108,13
2012,100,87,13
2012,104,92,12
2012,120,109,11
2012,112,98,14
2012,100,88,12
2012,99,85,14
2012,94,86,8
2012,103,92,11
2012,108,94,14
2012,97,86,11
2012,87,78,9
2012,95,82,13
2012,111,103,8
2012,99,90,9
2012,115,104,11
2012,106,91,15
2012,89,80,9
2012,109,95,14
2012,111,97,14
2012,120,106,14
2012,100,92,8
2012,119,110,9
2012,100,82,18
2012,110,100,10
2012,118,107,11
2012,111,98,13
2012,107,95,12
2012,100,94,6
2012,111,97,14
2012,114,106,8
2012,101,90,11
2012,101,90,11
2012,116,103,13
2012,104,90,14
2012,118,105,13
2012,123,97,26
2012,85,69,16
2012,109,93,16
2012,104,87,17
2012,134,115,19
2012,114,98,16
2012,95,85,10
2012,107,93,14
2012,111,102,9
2012,116,106,10
2012,112,100,12
2012,98,81,17
2012,122,105,17
2012,96,85,11
2012,95,84,11
2012,122,108,14
2012,123,104,19
2012,129,117,12
2012,108,97,11
2012,114,106,8
2012,84,74,10
2012,109,98,11
2012,111,103,8
2012,102,88,14
2012,104,92,12
2012,127,106,21
2012,124,110,14
