year,total_death,Jews_and_others_total_death,Arabs_total_death
2004,120,114,6
2004,125,116,9
2004,143,127,16
2004,126,111,15
2004,120,106,14
2004,123,116,7
2004,136,122,14
2004,133,125,8
2004,112,106,6
2004,106,97,9
2004,120,109,11
2004,127,111,16
2004,118,102,16
2004,119,110,9
2004,125,113,12
2004,126,113,13
2004,118,107,11
2004,105,97,8
2004,137,125,12
2004,127,110,17
2004,112,103,9
2004,122,112,10
2004,127,116,11
2004,110,106,4
2004,113,104,9
2004,122,110,12
2004,133,123,10
2004,117,99,18
2004,108,97,11
2004,116,100,16
2004,122,112,10
2004,108,96,12
2004,121,110,11
2004,106,97,9
2004,100,91,9
2004,115,98,17
2004,116,107,9
2004,96,91,5
2004,110,103,7
2004,105,96,9
2004,122,111,11
2004,114,102,12
2004,119,105,14
2004,106,94,12
2004,125,112,13
2004,116,104,12
2004,120,109,11
2004,122,104,18
2004,129,111,18
2004,109,99,10
2004,110,104,6
2004,105,97,8
2004,129,119,10
2004,122,109,13
2004,107,102,5
2004,123,118,5
2004,112,101,11
2004,97,88,9
2004,122,117,5
2004,112,102,10
2004,109,99,10
2004,124,114,10
2004,130,123,7
2004,116,108,8
2004,127,119,8
2004,115,101,14
2004,101,95,6
2004,104,90,14
2004,109,98,11
2004,95,85,10
2004,94,84,10
2004,111,99,12
2004,105,96,9
2004,116,105,11
2004,120,104,16
2004,112,103,9
2004,103,90,13
2004,109,103,6
2004,109,92,17
2004,97,93,4
2004,95,88,7
2004,112,106,6
2004,116,104,12
2004,117,104,13
2004,143,131,12
2004,100,87,13
2004,94,82,12
2004,111,106,5
2004,105,99,6
2004,112,100,12
2004,114,103,11
2004,118,107,11
2004,100,91,9
2004,88,78,10
2004,94,86,8
2004,113,96,17
2004,99,86,13
2004,76,70,6
2004,99,82,17
2004,92,83,9
2004,122,112,10
2004,102,88,14
2004,89,85,4
2004,95,83,12
2004,111,96,15
2004,97,83,14
2004,124,113,11
2004,99,88,11
2004,95,84,11
2004,98,88,10
2004,109,102,7
2004,102,92,10
2004,92,86,6
2004,91,80,11
2004,102,91,11
2004,100,88,12
2004,100,90,10
2004,108,102,6
2004,99,85,14
2004,95,87,8
2004,112,105,7
2004,88,74,14
2004,122,112,10
2004,90,78,12
2004,81,74,7
2004,105,97,8
2004,106,96,10
2004,99,85,14
2004,107,96,11
2004,91,86,5
2004,94,83,11
2004,101,95,6
2004,93,86,7
2004,80,75,5
2004,92,81,11
2004,79,70,9
2004,94,87,7
2004,104,91,13
2004,84,74,10
2004,113,104,9
2004,111,96,15
2004,104,92,12
2004,86,73,13
2004,95,83,12
2004,106,100,6
2004,92,86,6
2004,91,85,6
2004,83,82,1
2004,95,82,13
2004,91,84,7
2004,97,90,7
2004,85,77,8
2004,97,85,12
2004,91,85,6
2004,79,73,6
2004,81,73,8
2004,105,97,8
2004,91,83,8
2004,94,86,8
2004,104,93,11
2004,98,88,10
2004,101,95,6
2004,94,88,6
2004,94,85,9
2004,103,95,8
2004,99,92,7
2004,103,93,10
2004,107,98,9
2004,92,83,9
2004,74,67,7
2004,69,56,13
2004,109,102,7
2004,113,99,14
2004,85,80,5
2004,87,78,9
2004,92,84,8
2004,82,73,9
2004,98,91,7
2004,85,77,8
2004,90,82,8
2004,88,76,12
2004,110,97,13
2004,89,77,12
2004,91,81,10
2004,101,97,4
2004,98,94,4
2004,98,88,10
2004,95,92,3
2004,81,78,3
2004,96,85,11
2004,87,74,13
2004,103,97,6
2004,118,109,9
2004,83,79,4
2004,87,82,5
2004,103,91,12
2004,82,76,6
2004,82,76,6
2004,85,68,17
2004,83,77,6
2004,82,73,9
2004,89,80,9
2004,92,84,8
2004,109,99,10
2004,104,91,13
2004,96,89,7
2004,98,90,8
2004,94,88,6
2004,96,86,10
2004,85,74,11
2004,104,93,11
2004,89,82,7
2004,90,87,3
2004,93,83,10
2004,64,55,9
2004,92,81,11
2004,84,71,13
2004,90,77,13
2004,98,91,7
2004,94,83,11
2004,101,89,12
2004,77,71,6
2004,107,97,10
2004,88,79,9
2004,96,87,9
2004,92,82,10
2004,81,74,7
2004,115,102,13
2004,97,90,7
2004,91,79,12
2004,108,100,8
2004,97,80,17
2004,92,85,7
2004,78,67,11
2004,105,93,12
2004,85,80,5
2004,97,87,10
2004,101,91,10
2004,82,71,11
2004,93,88,5
2004,86,82,4
2004,93,82,11
2004,83,72,11
2004,104,99,5
2004,91,83,8
2004,87,81,6
2004,108,97,11
2004,91,85,6
2004,101,93,8
2004,97,84,13
2004,86,80,6
2004,103,94,9
2004,90,78,12
2004,78,72,6
2004,92,87,5
2004,102,87,15
2004,82,69,13
2004,108,97,11
2004,92,84,8
2004,96,82,14
2004,95,88,7
2004,112,101,11
2004,94,86,8
2004,96,90,6
2004,85,79,6
2004,100,93,7
2004,119,105,14
2004,97,87,10
2004,101,92,9
2004,96,84,12
2004,92,81,11
2004,98,82,16
2004,104,97,7
2004,91,84,7
2004,79,71,8
2004,89,79,10
2004,111,101,10
2004,97,84,13
2004,97,88,9
2004,76,69,7
2004,108,98,10
2004,91,82,9
2004,100,89,11
2004,86,80,6
2004,97,88,9
2004,98,88,10
2004,103,96,7
2004,109,101,8
2004,101,92,9
2004,90,84,6
2004,99,95,4
2004,103,93,10
2004,107,101,6
2004,105,95,10
2004,79,70,9
2004,131,114,17
2004,97,93,4
2004,96,88,8
2004,129,116,13
2004,87,74,13
2004,95,85,10
2004,109,97,12
2004,91,83,8
2004,78,68,10
2004,100,92,8
2004,105,98,7
2004,98,88,10
2004,98,89,9
2004,101,87,14
2004,106,96,10
2004,114,103,11
2004,103,91,12
2004,95,82,13
2004,99,88,11
2004,91,82,9
2004,91,85,6
2004,98,89,9
2004,97,85,12
2004,97,86,11
2004,98,90,8
2004,97,90,7
2004,92,82,10
2004,87,79,8
2004,92,82,10
2004,78,66,12
2004,96,91,5
2004,93,85,8
2004,91,85,6
2004,108,102,6
2004,95,81,14
2004,105,96,9
2004,114,102,12
2004,118,110,8
2004,102,93,9
2004,125,113,12
2004,114,107,7
2004,110,106,4
2004,129,113,16
2004,104,97,7
2004,113,104,9
2004,125,113,12
2004,117,111,6
2004,104,93,11
2004,98,91,7
2004,113,101,12
2004,119,106,13
2004,119,95,24
2004,111,99,12
2004,129,113,16
2004,136,117,19
2004,109,100,9
2004,113,105,8
2004,125,112,13
2004,119,110,9
2004,142,129,13
2004,144,124,20
2004,145,126,19
2004,138,127,11
2004,114,97,17
2004,101,94,7
2004,124,111,13
2004,137,128,9
2004,145,124,21
2004,143,132,11
2004,156,141,15
2004,145,132,13
